entry_id,raw_text,surname,first_name,first_name_expanded,suffix,occupation,relationship_type,related_to_name,age,origin,descriptor,additional_persons,additional_persons_count,entry_type,confidence,flags
1,"Abbot, Joseph",Abbot,Joseph,Joseph,,,,,,,,,,named,high,
2,"Abel, Henry's child",Abel,,,,,child,Henry,,,,,,named,high,
3,"Abel, John - shoemaker",Abel,John,John,,shoemaker,,,,,shoemaker,,,named,high,
4,"Abraham, Elizabeth",Abraham,Elizabeth,Elizabeth,,,,,,,,,,named,high,
5,"Abrahams, John - shopkeeper",Abrahams,John,John,,shopkeeper,,,,,shopkeeper,,,named,high,
6,"Ackley, John B.'s child",Ackley,,,,,child,John B.,,,,,,named,high,
7,"Ackley, James - Labourer",Ackley,James,James,,Labourer,,,,,Labourer,,,named,high,
8,"Ackley, James' wife and 3 daughters",Ackley,,,,,wife,James,,,,3 daughters,3,named,high,
9,"Ackley, Widow",Ackley,,,,,widow,,,,,,,named,high,
10,"Adair, Jas. Adair, labourer",Adair,Jas. Adair,Jas. Adair,,labourer,,,,,labourer,,,named,high,
11,"Adair, Jas.' wife & son",Adair,,,,,wife,Jas.,,,,son,,named,high,
12,"Adams, Moses, carpenter",Adams,Moses,Moses,,carpenter,,,,,carpenter,,,named,high,
13,"Adams, Robert's two children",Adams,,,,,children,Robert,,,,,2,named,high,
14,"Adams, Sarah , servant girl",Adams,Sarah,Sarah,,servant girl,servant,,,,servant girl,,,named,high,
15,"Adans, Hester",Adans,Hester,Hester,,,,,,,,,,named,high,
16,"Addington, Mary",Addington,Mary,Mary,,,,,,,,,,named,high,
17,"Adgate, Andrew, cardmaker",Adgate,Andrew,Andrew,,cardmaker,,,,,cardmaker,,,named,high,
18,"Adgate, widow and 2 children",Adgate,,,,,widow,,,,,2 children,2,named,high,
19,"Advulter, Mary",Advulter,Mary,Mary,,,,,,,,,,named,high,
20,"Ager, James",Ager,James,James,,,,,,,,,,named,high,
21,"Agge, Peter, physician",Agge,Peter,Peter,,physician,,,,,physician,,,named,high,
22,"Ainey, John, stonecutter",Ainey,John,John,,stonecutter,,,,,stonecutter,,,named,high,
23,"Alberger, Christian, skinner",Alberger,Christian,Christian,,skinner,,,,,skinner,,,named,high,
24,"Alberger, John, cooper",Alberger,John,John,,cooper,,,,,cooper,,,named,high,
25,"Alberton, Joseph, wife & 2 children",Alberton,Joseph,Joseph,,wife,wife,,,,wife,2 children,2,named,high,
26,"Alberton, Priscilla",Alberton,Priscilla,Priscilla,,,,,,,,,,named,high,
